REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Capital,8,Panjsher,806,Onaba(Anawa),25-06-2024,Flood / flash flood,0,0,5,35,5,0
Capital,8,Panjsher,804,Dara,25-06-2024,Flood / flash flood,0,0,5,35,5,0
Capital,8,Panjsher,807,Paryan,25-06-2024,Flood / flash flood,0,0,4,28,4,0
Capital,8,Panjsher,803,Rukha,25-06-2024,Flood / flash flood,0,0,2,14,2,0
Capital,8,Panjsher,805,Khenj (Hese- Awal),25-06-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,806,Onaba(Anawa),25-06-2024,Flood / flash flood,0,0,5,35,5,0
Capital,8,Panjsher,804,Dara,25-06-2024,Flood / flash flood,0,0,5,35,5,0
North Eastern,15,Badakhshan,1519,Tagab,26-06-2024,Flood / flash flood,0,0,39,273,11,28
North Eastern,15,Badakhshan,1520,Yamgan,26-06-2024,Flood / flash flood,2,6,20,140,9,11
Northern,19,Samangan,1907,Ruy-e-Duab,26-06-2024,Flood / flash flood,0,0,21,147,3,18
North Eastern,9,Baghlan,914,Guzargah-e-Nur,27-06-2024,Flood / flash flood,0,0,48,336,26,22
North Eastern,15,Badakhshan,1513,Shuhada,28-06-2024,Flood / flash flood,0,0,2,14,0,2
Eastern,13,Kunar,1301,Asadabad,13-07-2024,Flood / flash flood,0,0,12,140,9,0
Eastern,13,Kunar,1307,Dara-e-Pech,13-07-2024,Flood / flash flood,0,0,4,43,2,2
Eastern,13,Kunar,1315,Nari,13-07-2024,Flood / flash flood,0,3,44,329,30,5
Eastern,13,Kunar,1303,Narang,13-07-2024,Flood / flash flood,0,0,54,371,33,16
Eastern,13,Kunar,1311,Barkunar,13-07-2024,Flood / flash flood,0,0,51,350,51,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,13-07-2024,Flood / flash flood,0,0,7,70,7,0
Eastern,13,Kunar,1310,Dangam,13-07-2024,Flood / flash flood,0,0,30,280,20,9
Eastern,13,Kunar,1306,Shigal Wa Sheltan,13-07-2024,Flood / flash flood,0,0,3,30,3,0
Eastern,13,Kunar,1312,Ghaziabad,13-07-2024,Flood / flash flood,0,0,16,160,15,1
North Eastern,15,Badakhshan,1501,Fayzabad,14-07-2024,Flood / flash flood,0,0,3,21,2,1
North Eastern,15,Badakhshan,1521,Jorm,14-07-2024,Flood / flash flood,0,0,36,252,22,14
Eastern,7,Laghman,705,Dawlatshah,15-07-2024,Flood / flash flood,0,0,10,76,9,1
Eastern,7,Laghman,703,Qarghayi,15-07-2024,Flood / flash flood,0,0,1,10,1,0
Eastern,7,Laghman,703,Qarghayi,15-07-2024,Flood / flash flood,3,0,17,127,7,7
Eastern,7,Laghman,701,Mehtarlam,15-07-2024,Flood / flash flood,1,0,2,18,2,0
Eastern,7,Laghman,702,Alishang,15-07-2024,Flood / flash flood,0,0,1,10,1,0
Eastern,7,Laghman,705,Dawlatshah,15-07-2024,Flood / flash flood,0,0,2,18,2,0
Eastern,7,Laghman,704,Alingar,15-07-2024,Flood / flash flood,1,0,4,36,0,0
Eastern,7,Laghman,701,Mehtarlam,15-07-2024,Flood / flash flood,0,0,1,10,1,0
Capital,2,Kapisa,202,Nejrab,15-07-2024,Flood / flash flood,0,0,4,28,3,1
Capital,1,Kabul,109,Kalakan,15-07-2024,Flood / flash flood,0,0,5,35,5,0
Capital,1,Kabul,113,Surobi,15-07-2024,Flood / flash flood,1,0,22,154,21,1
Capital,3,Parwan,308,Koh-e-Safi,16-07-2024,Flood / flash flood,0,0,1,7,1,0
Capital,3,Parwan,303,Shinwari,16-07-2024,Flood / flash flood,0,0,3,21,3,0
Capital,2,Kapisa,202,Nejrab,16-07-2024,Flood / flash flood,0,0,40,280,38,2
North Eastern,15,Badakhshan,1520,Yamgan,16-07-2024,Flood / flash flood,2,0,58,406,27,31
North Eastern,15,Badakhshan,1520,Yamgan,16-07-2024,Flood / flash flood,0,0,6,42,2,4
Capital,3,Parwan,307,Ghorband,16-07-2024,Flood / flash flood,0,0,1,7,1,0
Capital,2,Kapisa,205,Tagab,16-07-2024,Flood / flash flood,0,0,4,28,3,1
Capital,1,Kabul,113,Surobi,17-07-2024,Flood / flash flood,0,0,22,154,21,1
Capital,1,Kabul,109,Kalakan,17-07-2024,Flood / flash flood,0,0,5,35,0,0
Capital,8,Panjsher,806,Onaba(Anawa),18-07-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,804,Dara,18-07-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,803,Rukha,18-07-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,6,Nangarhar,621,Nazyan,23-07-2024,Flood / flash flood,0,0,8,65,5,2
Eastern,6,Nangarhar,618,Shinwar,23-07-2024,Flood / flash flood,0,0,8,50,3,0
Eastern,6,Nangarhar,615,Batikot,23-07-2024,Flood / flash flood,0,4,1,4,0,1
Eastern,6,Nangarhar,609,Dara-e-Nur,23-07-2024,Flood / flash flood,0,0,16,119,13,2
Eastern,6,Nangarhar,616,Goshta,23-07-2024,Flood / flash flood,0,2,15,133,5,10
Eastern,6,Nangarhar,617,Achin,23-07-2024,Flood / flash flood,0,1,8,71,4,4
Eastern,7,Laghman,702,Alishang,26-07-2024,Flood / flash flood,0,0,10,83,0,3
Eastern,7,Laghman,701,Mehtarlam,26-07-2024,Flood / flash flood,0,0,5,40,0,2
Eastern,7,Laghman,701,Mehtarlam,26-07-2024,Flood / flash flood,0,2,29,231,0,8
Eastern,7,Laghman,702,Alishang,26-07-2024,Flood / flash flood,0,0,2,13,0,0
Eastern,7,Laghman,705,Dawlatshah,26-07-2024,Flood / flash flood,0,0,5,39,0,2
Eastern,7,Laghman,703,Qarghayi,26-07-2024,Flood / flash flood,1,0,6,47,0,3
Eastern,7,Laghman,701,Mehtarlam,26-07-2024,Flood / flash flood,0,0,1,7,0,0
Eastern,7,Laghman,701,Mehtarlam,26-07-2024,Flood / flash flood,0,0,5,35,5,0
Eastern,7,Laghman,705,Dawlatshah,26-07-2024,Flood / flash flood,0,0,7,49,7,0
Eastern,7,Laghman,704,Alingar,26-07-2024,Flood / flash flood,0,0,3,21,3,0
Eastern,7,Laghman,703,Qarghayi,26-07-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,704,Alingar,26-07-2024,Flood / flash flood,0,0,1,3,0,0
South Eastern,25,Paktika,2508,Gomal,30-07-2024,Flood / flash flood,0,0,6,42,6,0
South Eastern,11,Ghazni,1114,Muqur,03-08-2024,Flood / flash flood,0,0,18,126,18,0
South Eastern,11,Ghazni,1115,Abband,03-08-2024,Flood / flash flood,0,0,3,21,3,0
South Eastern,12,Paktya,1204,Zurmat,04-08-2024,Flood / flash flood,0,0,10,70,8,2
South Eastern,12,Paktya,1210,Chamkani,04-08-2024,Flood / flash flood,0,0,3,21,3,0
Southern,24,Zabul,2405,Shinkay,05-08-2024,Flood / flash flood,8,2,49,448,39,10
Southern,33,Kandahar,3316,Maruf,13-08-2024,Flood / flash flood,0,0,24,223,154,16
Southern,33,Kandahar,3312,Arghestan,13-08-2024,Flood / flash flood,0,0,5,50,5,0
South Eastern,12,Paktya,1204,Zurmat,18-08-2024,Flood / flash flood,1,0,12,84,9,3
South Eastern,11,Ghazni,1106,Dehyak,19-08-2024,Flood / flash flood,3,0,2,14,2,0
South Eastern,25,Paktika,2502,Matakhan,19-08-2024,Flood / flash flood,0,0,7,42,7,0
Southern,24,Zabul,2411,Nawbahar,20-08-2024,Flood / flash flood,0,0,6,43,6,0
Eastern,6,Nangarhar,604,Khogyani,20-08-2024,Flood / flash flood,0,0,25,147,21,0
Eastern,6,Nangarhar,605,Chaparhar,20-08-2024,Flood / flash flood,0,0,1,10,0,1
Capital,1,Kabul,101,Kabul,20-08-2024,Flood / flash flood,0,0,63,441,63,0
Capital,1,Kabul,101,Kabul,20-08-2024,Flood / flash flood,0,0,138,966,132,6
Southern,24,Zabul,2402,Arghandab,20-08-2024,Flood / flash flood,1,0,4,23,4,0
Capital,1,Kabul,101,Kabul,20-08-2024,Flood / flash flood,0,0,43,301,35,8
Eastern,6,Nangarhar,603,Surkhrod,20-08-2024,Flood / flash flood,0,1,2,12,0,2
Eastern,6,Nangarhar,601,Jalalabad,20-08-2024,Flood / flash flood,2,13,705,5703,453,127
Eastern,6,Nangarhar,618,Shinwar,20-08-2024,Flood / flash flood,0,0,6,43,6,0
Eastern,6,Nangarhar,617,Achin,20-08-2024,Flood / flash flood,0,0,25,233,22,0
Eastern,6,Nangarhar,614,Kot,20-08-2024,Flood / flash flood,0,0,19,144,2,6
Eastern,6,Nangarhar,613,Dehbala,20-08-2024,Flood / flash flood,0,0,1,10,0,1
Eastern,13,Kunar,1309,Khaskunar,21-08-2024,Flood / flash flood,0,0,5,50,5,0
Eastern,13,Kunar,1314,Nurgal,21-08-2024,Flood / flash flood,1,0,50,650,23,16
Eastern,13,Kunar,1308,Chawkay,21-08-2024,Flood / flash flood,0,0,4,40,4,0
Eastern,13,Kunar,1303,Narang,21-08-2024,Flood / flash flood,0,0,4,46,2,2
Eastern,13,Kunar,1306,Shigal Wa Sheltan,21-08-2024,Flood / flash flood,0,0,45,450,25,20
Capital,8,Panjsher,806,Onaba(Anawa),21-08-2024,Flood / flash flood,0,0,2,14,2,0
Capital,8,Panjsher,802,Shutul,21-08-2024,Flood / flash flood,0,0,2,14,2,0
Capital,3,Parwan,307,Ghorband,21-08-2024,Flood / flash flood,0,0,4,28,4,0
Capital,3,Parwan,309,Shekhali,21-08-2024,Flood / flash flood,0,0,11,77,11,0
Eastern,7,Laghman,705,Dawlatshah,25-08-2024,Flood / flash flood,0,0,3,27,1,2
Eastern,7,Laghman,702,Alishang,25-08-2024,Flood / flash flood,0,0,6,53,5,1
Eastern,7,Laghman,704,Alingar,25-08-2024,Flood / flash flood,0,0,4,27,2,2
Eastern,7,Laghman,701,Mehtarlam,25-08-2024,Flood / flash flood,1,1,51,282,36,15
Eastern,7,Laghman,701,Mehtarlam,25-08-2024,Flood / flash flood,0,0,2,15,2,0
Southern,23,Uruzgan,2301,Tirinkot,27-08-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,705,Dawlatshah,07-09-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,703,Qarghayi,07-09-2024,Flood / flash flood,0,0,6,42,5,1
Eastern,7,Laghman,701,Mehtarlam,07-09-2024,Flood / flash flood,0,0,3,21,2,1
Eastern,7,Laghman,704,Alingar,07-09-2024,Flood / flash flood,0,0,2,14,2,0
Eastern,7,Laghman,702,Alishang,07-09-2024,Flood / flash flood,0,0,4,28,4,0
Eastern,7,Laghman,703,Qarghayi,07-09-2024,Flood / flash flood,0,0,4,28,4,0
Eastern,6,Nangarhar,603,Surkhrod,13-09-2024,Flood / flash flood,0,0,4,36,1,0
Eastern,6,Nangarhar,601,Jalalabad,13-09-2024,Flood / flash flood,0,0,1,10,0,1
Eastern,6,Nangarhar,610,Hesarak,13-09-2024,Flood / flash flood,1,1,11,84,10,1
Eastern,13,Kunar,1305,Marawara,14-09-2024,Flood / flash flood,0,0,15,106,7,8
Eastern,13,Kunar,1301,Asadabad,14-09-2024,Flood / flash flood,0,0,1,10,1,0
Eastern,13,Kunar,1304,Sarkani,14-09-2024,Flood / flash flood,0,0,2,11,2,0
Eastern,6,Nangarhar,617,Achin,27-09-2024,Flood / flash flood,0,0,5,41,5,0
Eastern,6,Nangarhar,609,Dara-e-Nur,27-09-2024,Flood / flash flood,3,10,75,508,56,19
Eastern,6,Nangarhar,603,Surkhrod,27-09-2024,Flood / flash flood,0,0,2,13,2,0
Eastern,13,Kunar,1304,Sarkani,29-09-2024,Flood / flash flood,0,0,22,140,22,0
Eastern,13,Kunar,1309,Khaskunar,29-09-2024,Flood / flash flood,0,0,1,7,1,0
North Eastern,15,Badakhshan,1507,Yawan,03-10-2024,Landslide / mudflow,0,0,6,42,0,6
Eastern,7,Laghman,704,Alingar,05-10-2024,Flood / flash flood,1,8,56,445,47,9
Eastern,7,Laghman,702,Alishang,05-10-2024,Flood / flash flood,1,2,3,21,3,0
Eastern,7,Laghman,705,Dawlatshah,05-10-2024,Flood / flash flood,0,0,3,21,3,0
Eastern,7,Laghman,701,Mehtarlam,25-10-2024,Flood / flash flood,0,0,7,49,7,0
Eastern,7,Laghman,701,Mehtarlam,25-10-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,702,Alishang,25-10-2024,Flood / flash flood,0,0,2,14,2,0
Eastern,7,Laghman,702,Alishang,25-10-2024,Flood / flash flood,0,0,9,63,9,0
Eastern,7,Laghman,701,Mehtarlam,25-10-2024,Flood / flash flood,0,0,8,56,8,0
Eastern,7,Laghman,703,Qarghayi,25-10-2024,Flood / flash flood,0,0,9,63,9,0
Eastern,7,Laghman,701,Mehtarlam,25-10-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,704,Alingar,25-10-2024,Flood / flash flood,0,0,6,42,6,0
Eastern,6,Nangarhar,603,Surkhrod,26-10-2024,Flood / flash flood,0,0,4,37,3,0
Eastern,7,Laghman,704,Alingar,11-11-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,701,Mehtarlam,11-11-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,7,Laghman,701,Mehtarlam,11-11-2024,Flood / flash flood,0,0,8,56,8,0
Eastern,7,Laghman,701,Mehtarlam,11-11-2024,Flood / flash flood,0,0,1,7,1,0
North Eastern,16,Takhar,1616,Warsaj,15-11-2024,Flood / flash flood,0,0,4,28,3,1
Eastern,13,Kunar,1306,Shigal Wa Sheltan,15-11-2024,Flood / flash flood,0,0,6,67,2,4
Eastern,13,Kunar,1302,Watapur,15-11-2024,Flood / flash flood,0,0,11,110,9,2
North Eastern,17,Kunduz,1702,Emamsaheb,17-11-2024,Earthquake,1,1,28,196,22,6
North Eastern,17,Kunduz,1707,Dasht-e-Archi,22-11-2024,Flood / flash flood,0,0,14,98,10,4
North Eastern,17,Kunduz,1706,Khanabad,23-11-2024,Flood / flash flood,1,5,29,203,28,1
Eastern,6,Nangarhar,618,Shinwar,23-11-2024,Flood / flash flood,0,0,1,8,1,0
North Eastern,9,Baghlan,902,Baghlan-e-Jadid,23-11-2024,Flood / flash flood,0,0,19,133,19,0
Eastern,6,Nangarhar,601,Jalalabad,23-11-2024,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,615,Batikot,23-11-2024,Flood / flash flood,0,0,2,16,2,0
Northern,28,Faryab,2801,Maymana,23-11-2024,Flood / flash flood,0,0,10,70,8,2
North Eastern,17,Kunduz,1705,Aliabad,23-11-2024,Flood / flash flood,0,0,64,448,63,1
Northern,18,Balkh,1814,Sholgareh,23-11-2024,Flood / flash flood,0,0,97,679,85,12
Western,29,Badghis,2905,Jawand,03-12-2024,Landslide / mudflow,0,0,10,150,0,10
North Eastern,15,Badakhshan,1501,Fayzabad,09-12-2024,Landslide / mudflow,2,0,4,28,4,0
Capital,8,Panjsher,807,Paryan,25-06-2024,Flood / flash flood,0,0,4,28,4,0
Capital,8,Panjsher,806,Onaba(Anawa),25-06-2024,Flood / flash flood,0,0,5,35,5,0
Capital,8,Panjsher,805,Khenj (Hese- Awal),25-06-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,804,Dara,25-06-2024,Flood / flash flood,0,0,5,35,5,0
Capital,8,Panjsher,805,Khenj (Hese- Awal),25-06-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,803,Rukha,25-06-2024,Flood / flash flood,0,0,2,14,2,0
Eastern,7,Laghman,704,Alingar,25-06-2024,Flood / flash flood,0,0,7,51,0,3
Capital,8,Panjsher,803,Rukha,25-06-2024,Flood / flash flood,0,0,2,14,2,0
Capital,8,Panjsher,806,Onaba(Anawa),25-06-2024,Flood / flash flood,0,0,5,35,5,0
Eastern,7,Laghman,704,Alingar,26-06-2024,Flood / flash flood,0,0,4,29,0,1
North Eastern,15,Badakhshan,1520,Yamgan,26-06-2024,Flood / flash flood,2,6,20,140,9,11
North Eastern,15,Badakhshan,1519,Tagab,26-06-2024,Flood / flash flood,0,0,39,273,11,28
Northern,19,Samangan,1907,Ruy-e-Duab,26-06-2024,Flood / flash flood,0,0,21,147,3,18
North Eastern,9,Baghlan,914,Guzargah-e-Nur,27-06-2024,Flood / flash flood,0,0,48,336,26,22
Eastern,7,Laghman,703,Qarghayi,27-06-2024,Flood / flash flood,0,0,3,24,0,1
North Eastern,15,Badakhshan,1513,Shuhada,28-06-2024,Flood / flash flood,0,0,2,14,0,2
Eastern,7,Laghman,701,Mehtarlam,28-06-2024,Flood / flash flood,0,0,12,77,0,2
Eastern,7,Laghman,704,Alingar,13-07-2024,Flood / flash flood,0,0,54,371,6,38
Eastern,7,Laghman,703,Qarghayi,13-07-2024,Flood / flash flood,0,0,3,30,0,3
Eastern,7,Laghman,701,Mehtarlam,13-07-2024,Flood / flash flood,0,3,44,329,39,5
Eastern,7,Laghman,705,Dawlatshah,13-07-2024,Flood / flash flood,0,0,51,350,0,51
Eastern,7,Laghman,702,Alishang,13-07-2024,Flood / flash flood,0,0,7,49,0,7
North Eastern,15,Badakhshan,1521,Jorm,14-07-2024,Flood / flash flood,0,0,36,252,22,14
North Eastern,15,Badakhshan,1501,Fayzabad,14-07-2024,Flood / flash flood,0,0,3,21,2,1
Eastern,13,Kunar,1305,Marawara,15-07-2024,Flood / flash flood,0,0,2,11,2,0
Eastern,13,Kunar,1301,Asadabad,15-07-2024,Flood / flash flood,0,0,4,26,0,1
Eastern,13,Kunar,1301,Asadabad,15-07-2024,Flood / flash flood,0,0,4,29,2,2
Eastern,13,Kunar,1301,Asadabad,15-07-2024,Flood / flash flood,0,0,9,72,5,4
Eastern,13,Kunar,1304,Sarkani,15-07-2024,Flood / flash flood,0,0,1,10,1,0
Eastern,13,Kunar,1302,Watapur,15-07-2024,Flood / flash flood,0,0,1,10,1,0
Eastern,13,Kunar,1305,Marawara,15-07-2024,Flood / flash flood,0,0,8,65,7,1
Eastern,6,Nangarhar,603,Surkhrod,15-07-2024,Flood / flash flood,49,174,330,2184,292,38
Eastern,6,Nangarhar,602,Behsud,15-07-2024,Flood / flash flood,1,11,26,213,19,3
Capital,2,Kapisa,202,Nejrab,15-07-2024,Flood / flash flood,0,0,4,28,3,1
Eastern,6,Nangarhar,619,Muhmand Dara,15-07-2024,Flood / flash flood,0,0,2,20,1,1
Eastern,6,Nangarhar,616,Goshta,15-07-2024,Flood / flash flood,0,0,11,77,2,9
Eastern,6,Nangarhar,605,Chaparhar,15-07-2024,Flood / flash flood,0,1,3,21,2,1
Capital,1,Kabul,109,Kalakan,15-07-2024,Flood / flash flood,0,0,5,35,5,0
Eastern,6,Nangarhar,601,Jalalabad,15-07-2024,Flood / flash flood,1,7,151,1057,108,40
Eastern,6,Nangarhar,617,Achin,15-07-2024,Flood / flash flood,0,0,3,21,3,0
Capital,1,Kabul,113,Surobi,15-07-2024,Flood / flash flood,1,0,22,154,21,1
Eastern,6,Nangarhar,605,Chaparhar,15-07-2024,Flood / flash flood,0,0,1,10,1,0
North Eastern,15,Badakhshan,1520,Yamgan,16-07-2024,Flood / flash flood,2,0,58,406,27,31
Capital,2,Kapisa,205,Tagab,16-07-2024,Flood / flash flood,0,0,4,28,3,1
North Eastern,15,Badakhshan,1520,Yamgan,16-07-2024,Flood / flash flood,0,0,6,42,2,4
Capital,2,Kapisa,202,Nejrab,16-07-2024,Flood / flash flood,0,0,40,280,38,2
Capital,3,Parwan,307,Ghorband,16-07-2024,Flood / flash flood,0,0,1,7,1,0
Capital,3,Parwan,303,Shinwari,16-07-2024,Flood / flash flood,0,0,3,21,3,0
Capital,3,Parwan,308,Koh-e-Safi,16-07-2024,Flood / flash flood,0,0,1,7,1,0
Capital,1,Kabul,113,Surobi,17-07-2024,Flood / flash flood,0,0,22,154,21,1
Capital,1,Kabul,109,Kalakan,17-07-2024,Flood / flash flood,0,0,5,35,0,0
Capital,8,Panjsher,806,Onaba(Anawa),18-07-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,804,Dara,18-07-2024,Flood / flash flood,0,0,6,42,6,0
Capital,8,Panjsher,803,Rukha,18-07-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,6,Nangarhar,621,Nazyan,23-07-2024,Flood / flash flood,0,0,8,65,6,2
Eastern,6,Nangarhar,617,Achin,23-07-2024,Flood / flash flood,0,1,8,71,4,4
Eastern,6,Nangarhar,615,Batikot,23-07-2024,Flood / flash flood,0,4,1,4,0,1
Eastern,6,Nangarhar,609,Dara-e-Nur,23-07-2024,Flood / flash flood,0,0,5,35,4,1
Eastern,6,Nangarhar,616,Goshta,23-07-2024,Flood / flash flood,0,2,15,133,5,10
Eastern,6,Nangarhar,618,Shinwar,23-07-2024,Flood / flash flood,0,0,8,50,3,2
Eastern,13,Kunar,1314,Nurgal,26-07-2024,Flood / flash flood,0,0,1,7,1,0
Eastern,13,Kunar,1303,Narang,26-07-2024,Flood / flash flood,1,0,6,47,3,3
